"","ID","T3TOISA2","T3TOISA4","T3TOISA5","T3TOISA8","T3TOISA12","T3TOISA14","T3TOISA15","T3TOISA16","T3TOIspanx_O","T3TOIspanx_mi","T3TOIspanx"
"143",143,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"144",144,4,1,3,5,5,3,1,4,3.25,0,3.25
"145",145,1,3,4,5,4,2,3,5,3.375,0,3.375
"146",146,2,2,3,5,4,3,5,1,3.125,0,3.125
"147",147,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"148",148,3,1,3,1,2,1,1,3,1.875,0,1.875
"149",149,3,1,1,2,1,1,1,2,1.5,0,1.5
"150",150,5,3,2,4,4,1,2,3,3,0,3
"151",151,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"152",152,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"153",153,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"154",154,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"155",155,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"156",156,2,1,2,5,4,3,4,5,3.25,0,3.25
"157",157,5,1,3,5,5,1,3,3,3.25,0,3.25
"158",158,3,2,1,5,3,1,4,3,2.75,0,2.75
"159",159,4,1,3,3,4,2,3,3,2.875,0,2.875
"160",160,3,1,1,2,2,1,1,3,1.75,0,1.75
"161",161,5,3,3,5,1,5,5,4,3.875,0,3.875
"162",162,5,1,4,5,1,1,5,5,3.375,0,3.375
"163",163,5,4,2,4,5,5,5,5,4.375,0,4.375
"164",164,5,1,1,5,1,1,1,1,2,0,2
"165",165,5,2,3,5,5,2,1,5,3.5,0,3.5
"166",166,5,4,2,5,4,3,4,4,3.875,0,3.875
"167",167,1,2,1,4,1,3,5,4,2.625,0,2.625
"168",168,3,1,1,4,1,1,2,2,1.875,0,1.875
"169",169,NA,NA,NA,NA,NA,NA,NA,1,1,7,NA
"170",170,1,1,1,1,1,1,3,1,1.25,0,1.25
"171",171,1,1,1,1,1,1,1,1,1,0,1
"172",172,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"173",173,5,1,1,1,1,1,5,1,2,0,2
"174",174,3,1,2,3,3,5,3,5,3.125,0,3.125
"175",175,4,1,2,1,3,4,1,4,2.5,0,2.5
"176",176,5,1,1,5,1,1,2,1,2.125,0,2.125
"177",177,1,4,3,4,1,1,5,1,2.5,0,2.5
"178",178,5,1,1,4,1,1,3,1,2.125,0,2.125
"179",179,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"180",180,1,1,1,2,1,2,4,5,2.125,0,2.125
"181",181,1,2,1,1,5,1,5,1,2.125,0,2.125
"182",182,4,2,2,2,1,1,NA,2,2,1,2
"183",183,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"184",184,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"185",185,5,5,3,3,5,1,1,5,3.5,0,3.5
"186",186,5,1,1,1,1,1,5,1,2,0,2
"187",187,4,2,1,3,1,2,1,2,2,0,2
"188",188,5,3,2,5,3,1,5,1,3.125,0,3.125
"189",189,1,2,3,4,1,1,2,3,2.125,0,2.125
"190",190,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"191",191,5,5,3,1,3,2,1,4,3,0,3
"192",192,5,4,4,5,3,5,5,1,4,0,4
"193",193,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"194",194,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"195",195,4,2,2,1,3,1,1,4,2.25,0,2.25
"196",196,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"197",197,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"198",198,3,2,5,3,5,3,4,5,3.75,0,3.75
"199",199,1,1,2,3,1,1,1,2,1.5,0,1.5
"200",200,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"201",201,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"202",202,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"203",203,4,4,1,3,1,1,3,1,2.25,0,2.25
"204",204,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"205",205,5,5,5,5,1,1,5,5,4,0,4
"206",206,NA,1,1,1,1,3,1,1,1.28571428571429,1,1.28571428571429
"207",207,5,3,1,1,5,1,1,5,2.75,0,2.75
"208",208,3,2,1,5,1,1,5,1,2.375,0,2.375
"209",209,3,1,5,1,2,5,1,3,2.625,0,2.625
"210",210,1,4,5,4,1,5,5,5,3.75,0,3.75
"211",211,1,4,3,5,5,1,4,5,3.5,0,3.5
"212",212,5,1,1,1,1,1,3,1,1.75,0,1.75
"213",213,5,3,1,1,3,1,1,5,2.5,0,2.5
"214",214,2,3,4,5,1,2,3,4,3,0,3
"215",215,5,4,5,1,5,1,1,4,3.25,0,3.25
"216",216,5,3,5,NA,1,5,5,1,3.57142857142857,1,3.57142857142857
"217",217,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"218",218,2,2,1,3,3,1,3,3,2.25,0,2.25
"219",219,4,1,1,2,1,1,2,1,1.625,0,1.625
"220",220,1,2,1,1,2,1,1,1,1.25,0,1.25
